Club_name,Player_name,Age,Position,Club_involved_name,Transfer type,Transfer_movement,Transfer_period,Fee(mill€),League_name,Year,Season,Nationality,Club_involved_country
Manchester United,Christian Eriksen,30,Central Midfield,Brentford,Free Transfer,in,Summer,0.00,Premier League,2022,2022/2023,Denmark,England
Manchester United,Martin Dubravka,33,Goalkeeper,Newcastle,Loan Transfer,in,Summer,2.00,Premier League,2022,2022/2023,Slovenia,England
Manchester United,Antony,22,Right Winger,Ajax,Permanent Transfer,in,Summer,95.00,Premier League,2022,2022/2023,Brazil,Netherlands
Manchester United,Lisandro Martinez,24,Centre-Back,Ajax,Permanent Transfer,in,Summer,57.37,Premier League,2022,2022/2023,Argentina,Netherlands
Manchester United,Casemiro,30,Defensive Midfield,Real Madrid,Permanent Transfer,in,Summer,70.65,Premier League,2022,2022/2023,Brazil,Spain
Manchester United,Tyrell Malacia,22,Left-Back,Feyenoord,Permanent Transfer,in,Summer,15.00,Premier League,2022,2022/2023,Netherlands,Netherlands
Manchester United,Axel Tuanzebe,24,Centre-Back,SSC Napoli,End of Loan,in,Summer,0.00,Premier League,2022,2022/2023,England,Italy
Manchester United,Anthony Martial,26,Centre-Forward,Sevilla FC,End of Loan,in,Summer,0.00,Premier League,2022,2022/2023,France,Spain
Manchester United,Andreas Pereira,26,Attacking Midfield,Flamengo,End of Loan,in,Summer,0.00,Premier League,2022,2022/2023,Brazil,Brazil
Manchester United,Facundo Pellistri,20,Right Winger,Alavés,End of Loan,in,Summer,0.00,Premier League,2022,2022/2023,Uruguay,Spain
Manchester United,Edinson Cavani,35,Centre-Forward,Valencia,Free Transfer,out,Summer,0.00,Premier League,2022,2022/2023,Uruguay,Spain
Manchester United,Paul Pogba,29,Central Midfield,Juventus,Free Transfer,out,Summer,0.00,Premier League,2022,2022/2023,France,Italy
Manchester United,Jesse Lingard,29,Attacking Midfield,Nottm Forest,Free Transfer,out,Summer,0.00,Premier League,2022,2022/2023,England,England
Manchester United,Nemanja Matic,34,Defensive Midfield,AS Roma,Free Transfer,out,Summer,0.00,Premier League,2022,2022/2023,Serbia,Italy
Manchester United,Juan Mata,34,Attacking Midfield,Galatasaray,Free Transfer,out,Summer,0.00,Premier League,2022,2022/2023,Spain,Turkey
Manchester United,Andreas Pereira,26,Attacking Midfield,Fulham,Permanent Transfer,out,Summer,9.50,Premier League,2022,2022/2023,Belgium,England
Manchester United,James Garner,21,Central Midfield,Everton,Permanent Transfer,out,Summer,17.34,Premier League,2022,2022/2023,England,England
Manchester United,Tahith Chong,22,Right Winger,Birmingham,Permanent Transfer,out,Summer,1.75,Premier League,2022,2022/2023,Netherlands,England
Manchester United,Amad Diallo,20,Right Winger,Sunderland,Loan Transfer,out,Summer,0.00,Premier League,2022,2022/2023,Ivory Coast,England
Manchester United,Dean Henderson,25,Goalkeeper,Nottm Forest,Loan Transfer,out,Summer,0.00,Premier League,2022,2022/2023,England,England
Manchester United,Alvaro Fernandez,19,Left-Back,Preston,Loan Transfer,out,Summer,0.00,Premier League,2022,2022/2023,Spain,England
Manchester United,Alex Telles,29,Left-Back,Sevilla FC,Loan Transfer,out,Summer,0.00,Premier League,2022,2022/2023,Brazil,Spain
Manchester United,Eric Bailly,28,Centre-Back,Marseille,Loan Transfer,out,Summer,2.00,Premier League,2022,2022/2023,Ivory Coast,France
